hotel,price,score,avg review,reviews count
"Galt House Hotel, A Trademark Collection Hotel",$152,8.4,Very Good,"2,233"
Hampton Inn Louisville Downtown,$135,7.6,Good,538
"Crowne Plaza Louisville Airport Expo Center, an IHG Hotel",$98,7.4,Good,975
Omni Louisville Hotel,$214,8.9,Excellent,855
21c Museum Hotel Louisville,$227,8.8,Excellent,209
Rodeway Inn Louisville,$55,6.1,Review score,638
SpringHill Suites Louisville Airport,$127,8.6,Excellent,244
TownePlace Suites by Marriott Louisville Downtown,$101,8.8,Excellent,141
Homewood Suites By Hilton Louisville Downtown,$134,8.9,Excellent,852
Hilton Garden Inn Louisville Downtown,$128,7.9,Good,408
Hilton Garden Inn Louisville Airport,$149,8.7,Excellent,184
Wingate by Wyndham Louisville East,$80,8.0,Very Good,725
Fairfield Inn & Suites By Marriott Louisville Northeast,$125,9.0,Wonderful,451
"Staybridge Suites - Louisville - Expo Center, an IHG Hotel",$140,8.9,Excellent,97
Tru By Hilton Louisville East Ky,$129,8.9,Excellent,634
Super 8 by Wyndham Louisville/Expo Center,$79,7.0,Good,229
Tru By Hilton Louisville Airport,$127,8.3,Very Good,365
"Holiday Inn Express & Suites Downtown Louisville, an IHG Hotel",$149,8.3,Very Good,477
Comfort Inn Southwest Louisville,$89,7.4,Good,138
Moxy Louisville Downtown,$138,8.7,Excellent,404
Louisville Marriott Downtown,$197,8.5,Very Good,291
Hilton Garden Inn Louisville-Northeast,$121,8.7,Excellent,263
Hampton Inn Louisville East Hurstbourne,$139,8.6,Excellent,157
Cambria Hotel Louisville Downtown-Whiskey Row,$169,9.1,Wonderful,214
Residence Inn by Marriott Louisville East/Oxmoor,$169,9.2,Wonderful,105
Best Western Premier Airport/Expo Center Hotel,$108,8.2,Very Good,701
Hyatt Regency Louisville,$166,8.2,Very Good,801
